Time,Vehicle 1,Vehicle 2,Vehicle 3,Vehicle 4,Vehicle 5,Vehicle 6,Vehicle 7,Vehicle 8,Vehicle 9,Vehicle 10,Vehicle 11,Vehicle 12,Vehicle 13,Vehicle 14,Vehicle 15,Vehicle 16,Vehicle 17,Vehicle 18,Vehicle 19,Vehicle 20,Vehicle 21,Vehicle 22,Vehicle 23,Vehicle 24,Vehicle 25,Vehicle 26,Vehicle 27,Vehicle 28,Vehicle 29,Vehicle 30,Vehicle 31,Vehicle 32,Vehicle 33,Vehicle 34,Vehicle 35,Vehicle 36,Vehicle 37,Vehicle 38,Vehicle 39,Vehicle 40,Vehicle 41,Vehicle 42,Vehicle 43,Vehicle 44,Vehicle 45,Vehicle 46,Vehicle 47,Vehicle 48,Vehicle 49,Vehicle 50
10/10/10 15:10,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0
10/10/10 15:20,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,1920,0,1920,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 15:30,0,0,0,0,1920,1920,0,1920,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,1920,0,1920,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 15:40,0,0,0,0,0,0,0,0,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 15:50,0,0,0,0,0,0,0,0,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,1920,0,0,0,0
10/10/10 16:00,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,1920,0,0,0,0,0,0,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 16:10,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,1920,1920,0,0,0,0,0,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 16:20,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,0,0,0,1920,1920,0,1920,1920,0,0,0,0,1920,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 16:30,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,0,0,1920,0,0,0,0,0,0,0,0,1920,0,1920,0,0,1920,1920,0,1920,0,0,0,0,0,1920,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 16:40,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,0,1920,0,0,0,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,1920,0,0,0,0,0,1920,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 16:50,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,0,0,1920,0,0,0,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,1920,1920,0,0,0
10/10/10 17:00,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,1920,0,1920,0,0,0,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,1920,0,0,0,1920,0,0,0,1920,0,1920,0,1920,1920,0,0,0
10/10/10 17:10,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,1920,0,1920,0,0,0,0,1920,0,0,0,0,0,1920,0,0,1920,1920,1920,1920,0,0,0,1920,0,0,0,1920,0,1920,0,1920,1920,0,0,0
10/10/10 17:20,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,1920,0,0,1920,0,0,0,0,1920,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,1920,0,1920,0,1920,0,1920,0,1920,1920,0,0,0
10/10/10 17:30,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,1920,1920,0,1920,0,0,0,0,1920,0,0,0,0,1920,1920,0,1920,1920,1920,1920,1920,0,0,0,1920,0,1920,0,1920,0,1920,0,1920,1920,0,0,0
10/10/10 17:40,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,1920,1920,0,1920,0,0,0,0,1920,0,0,0,0,1920,0,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,1920,0,0,0,1920,1920,0,0,0
10/10/10 17:50,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,1920,1920,0,1920,0,0,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,1920,1920,0,0,0
10/10/10 18:00,0,0,1920,0,0,0,0,0,1920,0,1920,0,0,1920,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,1920,1920,0,1920,0
10/10/10 18:10,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,1920,0,0,0,0,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,1920,1920,0,1920,0
10/10/10 18:20,0,0,1920,0,0,0,0,0,0,0,1920,0,0,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,0,1920,0,0,0,0,0,1920,0,1920,0,0,0,1920,1920,0,1920,0
10/10/10 18:30,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,1920,1920,0,1920,0,0,0,0,0,1920,0,1920,0,0,0,1920,1920,0,0,0
10/10/10 18:40,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,1920,0,0,0,1920,1920,1920,0,0
10/10/10 18:50,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,1920,0,0,0,1920,1920,1920,1920,0
10/10/10 19:00,0,0,1920,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,1920,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,1920,1920,1920,0,0
10/10/10 19:10,0,0,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,1920,1920,1920,0,0
10/10/10 19:20,0,0,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0
10/10/10 19:30,0,0,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0
10/10/10 19:40,0,0,1920,0,0,1920,0,0,0,0,1920,0,0,1920,1920,1920,0,0,1920,0,0,0,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0
10/10/10 19:50,0,0,1920,0,0,1920,0,0,0,1920,1920,0,0,1920,1920,1920,0,0,1920,0,0,1920,0,0,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,1920,0,0,0,0,0,0,1920,0,1920,0
10/10/10 20:00,0,0,1920,0,0,1920,0,0,0,1920,1920,1920,0,1920,1920,1920,0,0,1920,0,0,1920,0,1920,0,0,1920,1920,0,0,1920,1920,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0
10/10/10 20:10,0,0,1920,0,0,1920,0,0,0,1920,1920,1920,0,1920,1920,1920,0,0,1920,0,0,1920,0,1920,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,0,1920,0
10/10/10 20:20,0,0,1920,0,0,1920,0,0,0,1920,1920,1920,0,1920,1920,1920,0,0,1920,0,0,1920,0,1920,1920,0,1920,1920,0,0,0,1920,1920,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,1920,1920,0
